City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bathsheba,BB,81.21,Clouds,13.2167,-59.5167,Atlantis Hotel
2,Emerald,AU,82.35,Rain,-23.5333,148.1667,Emerald Central Hotel
5,Kaeo,NZ,70.32,Clouds,-35.1,173.7833,No hotel found
8,Rikitea,PF,75.61,Clouds,-23.1203,-134.9692,Chez Bianca & Benoit
10,Inhambane,MZ,71.58,Clouds,-23.865,35.3833,Hotel de Inhambane
11,Avarua,CK,78.85,Clouds,-21.2078,-159.775,Paradise Inn
17,Isangel,VU,87.91,Clouds,-19.55,169.2667,Tanna Lodge
18,Meulaboh,ID,83.53,Clouds,4.1363,96.1285,Hotel Meuligou
21,Senador Guiomard,BR,73.15,Clouds,-10.1522,-67.7392,Paraíso
23,Hilo,US,73.62,Clouds,19.7297,-155.09,Dolphin Bay Hotel
28,Kismayo,SO,79.7,Clouds,-0.3582,42.5454,Kismayo Hotel
31,Bengkulu,ID,83.01,Clouds,-3.8004,102.2655,Dena Hotel
32,Cayenne,GF,73.44,Clear,4.9333,-52.3333,Central Hôtel
33,Kudahuvadhoo,MV,80.82,Clouds,2.6708,72.8944,No hotel found
34,Vaini,TO,84.36,Clouds,-21.2,-175.2,Keleti International Resort
43,Atuona,PF,78.06,Clear,-9.8,-139.0333,Pearl Resort
46,Muri,IN,72.86,Clear,23.3667,85.8667,No hotel found
47,Mareeba,AU,83.12,Rain,-17.0,145.4333,The Gateway Hotel
52,Hithadhoo,MV,81.07,Clouds,-0.6,73.0833,Pebbles Inn
55,Carnarvon,AU,84.24,Clear,-24.8667,113.6333,No hotel found
61,Tambopata,PE,74.28,Clouds,-12.7333,-69.1833,No hotel found
66,Arraial Do Cabo,BR,72.97,Clouds,-22.9661,-42.0278,No hotel found
70,Georgetown,MY,87.73,Clouds,5.4112,100.3354,Page 63 hostel
80,Ambilobe,MG,78.1,Clouds,-13.2,49.05,Hôtel National
81,Victoria,HK,82.45,Clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
90,Majene,ID,86.34,Clouds,-3.5403,118.9707,No hotel found
91,Port Moresby,PG,85.1,Clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
92,Kapaa,US,75.18,Clouds,22.0752,-159.319,Pono Kai Resort
93,Cockburn Town,TC,80.31,Clouds,21.4612,-71.1419,The Salt Raker Inn
94,Merauke,ID,83.28,Clouds,-8.4667,140.3333,No hotel found
96,Harper,LR,77.4,Rain,4.375,-7.7169,No hotel found
97,Panaba,MX,75.88,Clouds,21.2833,-88.2667,No hotel found
105,Mahebourg,MU,79.25,Clouds,-20.4081,57.7,Grand Bel Air
106,Kulhudhuffushi,MV,80.96,Clouds,6.6221,73.07,No hotel found
108,Champerico,GT,80.01,Clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
111,Bandarbeyla,SO,78.71,Clouds,9.4942,50.8122,No hotel found
113,Lorengau,PG,84.06,Clouds,-2.0226,147.2712,Seeadler Bay Hotel
115,Itarema,BR,77.79,Clouds,-2.9248,-39.9167,Pousada Oásis
124,Praia,CV,73.94,Clear,14.9215,-23.5087,Casa Sodadi
131,Alofi,NU,78.15,Clear,-19.0595,-169.9187,No hotel found
133,Sarangani,PH,82.96,Clouds,5.4033,125.4636,No hotel found
138,Tarauaca,BR,71.06,Clouds,-8.1614,-70.7656,Hotel Estrela
144,Mahanoro,MG,75.67,Clouds,-19.9,48.8,Vanilla Bungalow
146,Souillac,MU,77.38,Clouds,-20.5167,57.5167,Hotel SkylineInn
149,Faanui,PF,79.56,Clear,-16.4833,-151.75,Oa Oa Lodge
150,Dapaong,TG,72.09,Clouds,10.8639,0.205,La Residenze
153,Busselton,AU,75.07,Clear,-33.65,115.3333,No hotel found
156,Piacabucu,BR,76.75,Clouds,-10.4056,-36.4344,O Leão
157,Am Timan,TD,70.95,Clouds,11.0297,20.2827,Nimla
166,Dingle,PH,82.44,Clouds,10.9995,122.6711,No hotel found
168,Butaritari,KI,81.64,Clouds,3.0707,172.7902,No hotel found
169,Dakar,SN,77.13,Clear,14.6937,-17.4441,翁记小吃
172,Pozo Colorado,PY,74.79,Clear,-23.4923,-58.7972,No hotel found
173,Cururupu,BR,75.6,Clouds,-1.8283,-44.8683,No hotel found
177,Singapore,SG,86.09,Clouds,1.2897,103.8501,5footway.inn
179,Sao Filipe,CV,76.35,Clouds,14.8961,-24.4956,Bela Vista
181,Tabou,CI,76.86,Rain,4.423,-7.3528,hôtel le rochet
182,Namatanai,PG,86.41,Clouds,-3.6667,152.4333,Namatanai Hotel
185,Kirakira,SB,82.85,Clouds,-10.4544,161.9205,No hotel found
190,Aripuana,BR,72.16,Rain,-9.1667,-60.6333,No hotel found
193,Airai,TL,71.1,Clouds,-8.9266,125.4092,No hotel found
194,Mount Hagen,PG,70.9,Clouds,-5.8581,144.2274,Hotel Poroman
197,Vangaindrano,MG,75.34,Clear,-23.35,47.6,Fanilo
198,Jinxiang,CN,70.16,Clouds,27.4327,120.6062,No hotel found
199,Ruangwa,TZ,73.45,Clouds,-10.0667,38.9333,No hotel found
201,Kuntaur,GM,72.36,Clear,13.6667,-14.8833,No hotel found
202,Port-Gentil,GA,79.03,Rain,-0.7193,8.7815,Tara-Mé
203,Yazman,PK,71.49,Clear,29.1212,71.7446,Yazman Banquet Marriage Hall
204,Shiggaon,IN,79.03,Clouds,15.0,75.2333,No hotel found
207,Caucaia,BR,80.55,Clouds,-3.7361,-38.6531,No hotel found
208,Mackay,AU,79.23,Clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
209,Kanigiri,IN,77.95,Clouds,15.4,79.5167,No hotel found
214,Padang,ID,84.45,Clouds,-0.9492,100.3543,losmen Surya
215,Ponta Do Sol,PT,70.0,Clouds,32.6667,-17.1,Estalagem Ponta do Sol
216,Mumford,GH,78.44,Clouds,5.2618,-0.759,No hotel found
220,Makakilo City,US,77.32,Clear,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
221,Neiafu,TO,83.08,Clouds,-18.65,-173.9833,Port Wine Guest House
223,Kavaratti,IN,81.19,Clouds,10.5669,72.642,No hotel found
224,Malakal,SS,76.23,Clouds,9.5334,31.6605,No hotel found
226,Mogadishu,SO,80.44,Clouds,2.0371,45.3438,SYL Hotel
237,Santa Isabel Do Rio Negro,BR,73.15,Clouds,-0.4139,-65.0192,Hotel Maikon
239,Camopi,GF,72.41,Clouds,3.1655,-52.3158,Chez Lucia
248,Acapulco,MX,78.62,Clouds,16.8634,-99.8901,Hotel del Valle
249,Bireun,ID,83.5,Clouds,5.203,96.7009,No hotel found
255,Palembang,ID,86.09,Clouds,-2.9167,104.7458,OYO 183 The Pipe House
257,Sao Jose Da Coroa Grande,BR,76.55,Clouds,-8.8978,-35.1478,Hotel do Sol
261,Ambanja,MG,76.33,Clouds,-13.6833,48.45,Hôtel Salama Rose
262,Mangrol,IN,76.42,Clear,21.1167,70.1167,No hotel found
