City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,20.71,Clouds
1,Cidreira,BR,-30.1811,-50.2056,69.33,88,3,14.72,Clear
2,Emerald,AU,-23.5333,148.1667,82.35,66,100,10.04,Rain
3,Cape Town,ZA,-33.9258,18.4232,67.37,72,0,5.75,Clear
4,Batagay-Alyta,RU,67.8006,130.4114,-28.25,98,91,3.0,Clouds
5,Kaeo,NZ,-35.1,173.7833,70.32,65,100,10.83,Clouds
6,Castro,BR,-24.7911,-50.0119,58.78,98,99,9.71,Clouds
7,Lebu,CL,-37.6167,-73.65,54.77,92,4,9.28,Clear
8,Rikitea,PF,-23.1203,-134.9692,75.61,73,21,7.52,Clouds
9,Goderich,CA,43.7501,-81.7165,42.91,93,97,10.36,Clouds
10,Inhambane,MZ,-23.865,35.3833,71.58,94,75,5.01,Clouds
11,Avarua,CK,-21.2078,-159.775,78.85,69,75,12.66,Clouds
12,Ancud,CL,-41.8697,-73.8203,54.18,87,100,3.02,Clouds
13,Punta Arenas,CL,-53.15,-70.9167,55.51,58,75,6.91,Clouds
14,Klaksvik,FO,62.2266,-6.589,49.12,86,84,27.45,Clouds
15,Slobodskoy,RU,58.7322,50.1772,4.3,98,62,1.9,Clouds
16,Esperance,AU,-33.8667,121.9,63.9,57,71,8.7,Clouds
17,Isangel,VU,-19.55,169.2667,87.91,70,52,5.75,Clouds
18,Meulaboh,ID,4.1363,96.1285,83.53,68,98,0.83,Clouds
19,Ushuaia,AR,-54.8,-68.3,49.66,62,0,2.3,Clear
20,Bluff,NZ,-46.6,168.3333,59.81,69,63,12.91,Clouds
21,Senador Guiomard,BR,-10.1522,-67.7392,73.15,71,95,3.69,Clouds
22,Roald,NO,62.5833,6.1333,49.33,81,87,3.44,Clouds
23,Hilo,US,19.7297,-155.09,73.62,93,100,1.01,Clouds
24,Te Anau,NZ,-45.4167,167.7167,56.53,57,82,7.96,Rain
25,Qaanaaq,GL,77.484,-69.3632,-8.05,74,94,6.4,Clouds
26,Yellowknife,CA,62.456,-114.3525,5.56,78,20,16.11,Clouds
27,Ardahan,TR,41.1087,42.7022,23.83,95,70,1.57,Clouds
28,Kismayo,SO,-0.3582,42.5454,79.7,77,81,7.83,Clouds
29,Chapais,CA,49.7834,-74.8492,24.58,94,100,5.93,Clouds
30,Dikson,RU,73.5069,80.5464,5.54,99,98,5.77,Clouds
31,Bengkulu,ID,-3.8004,102.2655,83.01,69,100,4.61,Clouds
32,Cayenne,GF,4.9333,-52.3333,73.44,100,0,1.14,Clear
33,Kudahuvadhoo,MV,2.6708,72.8944,80.82,69,16,7.11,Clouds
34,Vaini,TO,-21.2,-175.2,84.36,79,75,12.66,Clouds
35,East London,ZA,-33.0153,27.9116,61.74,100,20,4.61,Clouds
36,Norman Wells,CA,65.282,-126.8329,-7.56,77,75,10.36,Snow
37,Palora,EC,-1.7,-77.9333,63.82,96,92,2.93,Clouds
38,Trebinje,BA,42.7119,18.3442,46.76,43,0,18.41,Clear
39,Puerto Madryn,AR,-42.7692,-65.0385,65.5,82,60,10.63,Rain
40,Staraya Poltavka,RU,50.4772,46.4814,26.58,53,100,11.56,Clouds
41,El Alto,PE,-4.2714,-81.2147,65.86,84,60,11.14,Clouds
42,Vostok,RU,46.4856,135.8833,19.18,73,100,0.76,Clouds
43,Atuona,PF,-9.8,-139.0333,78.06,72,5,11.68,Clear
44,Thompson,CA,55.7435,-97.8558,19.56,93,100,6.91,Clouds
45,Nador,MA,35.174,-2.9287,62.85,63,0,12.66,Clear
46,Muri,IN,23.3667,85.8667,72.86,40,0,1.88,Clear
47,Mareeba,AU,-17.0,145.4333,83.12,92,95,3.94,Rain
48,Albany,US,42.6001,-73.9662,49.26,93,100,1.99,Clouds
49,Zelenchukskaya,RU,43.858,41.5894,41.85,91,97,0.94,Clouds
50,Cabo San Lucas,MX,22.8909,-109.9124,65.61,63,0,3.47,Clear
51,Filingue,NE,14.3521,3.3168,69.37,16,91,7.31,Clouds
52,Hithadhoo,MV,-0.6,73.0833,81.07,76,86,6.22,Clouds
53,Tazovskiy,RU,67.4667,78.7,8.33,96,98,8.23,Clouds
54,Konstantinovka,RU,49.6167,127.9833,5.0,92,98,3.98,Clouds
55,Carnarvon,AU,-24.8667,113.6333,84.24,44,0,14.58,Clear
56,Tuktoyaktuk,CA,69.4541,-133.0374,-4.77,95,100,8.03,Clouds
57,Sungurlu,TR,40.1675,34.3739,38.3,86,84,3.47,Clouds
58,Jamestown,US,42.097,-79.2353,43.02,78,100,10.36,Mist
59,Nebolchi,RU,59.1239,33.3454,20.21,90,99,8.05,Clouds
60,Ribeira Grande,PT,38.5167,-28.7,67.77,94,100,21.99,Clouds
61,Tambopata,PE,-12.7333,-69.1833,74.28,66,79,1.83,Clouds
62,Chokurdakh,RU,70.6333,147.9167,-40.09,100,95,1.83,Clouds
63,Mataura,NZ,-46.1927,168.8643,59.49,34,41,7.36,Clouds
64,Hermanus,ZA,-34.4187,19.2345,63.81,85,42,16.28,Clouds
65,Varhaug,NO,58.6147,5.6457,48.88,90,100,26.44,Rain
66,Arraial Do Cabo,BR,-22.9661,-42.0278,72.97,91,57,19.93,Clouds
67,Longyearbyen,SJ,78.2186,15.6401,26.44,80,0,3.44,Clear
68,Lagoa,PT,39.05,-27.9833,65.05,91,100,36.48,Clouds
69,Zhuji,CN,29.7188,120.2423,67.35,83,100,8.3,Rain
70,Georgetown,MY,5.4112,100.3354,87.73,77,20,3.44,Clouds
